"Titel";"ISBN";"Verfasser";"PPN";"Jahr"
"Fachwissen Textileinzelhandel";"3808576421";"hrsg. von Roland Kilgus und Helmut Lungershausen";"315142588";"2000";
"Elementargrammatik und Rechtschreibung";"3486882627";"verfasst von Gerhard Schoebe";"323911277";"2000";
"Musikalische Begabung und Expertise : Tagungsband zur internationalen Jahrestagung der Deutschen Gesellschaft für Musikpsychologie DGM, vom 21. bis 23. September 2000 an der Staatlichen Hochschule für Musik Freiburg";"";"hrsg. von Claudia Bullerjahn";"1157547079";"2000";
"Frauen ohne Wohnung : spezifische Sozialisationsbedingungen, subkulturelle Strukturen und Interventionsansätze des Hilfesystems";"3828881076";"von Kathrin Macke";"1611782651";"2000";
"Entwicklung im Netzwerk : systemisches Denken und professionsübergreifendes Handeln in der Entwicklungsförderung";"3472044187";"Hans von Lüpke ... (Hrsg.)";"314712887";"2000";
"Angststörungen im Kindesalter : Implementierung eines kognitiv-behavioralen Trainings im Rahmen der stationären Jugendhilfe";"3-8265-7235-1";"Marko Karl Ingo Specht";"1613466420";"2000";
"Teach business English";"0521585570";"Sylvie Donna";"1619313804";"2000";
"Ausbildungshandbuch audiovisuelle Medienberufe. - 3. Ausbildungshandbuch für das dritte Lehrjahr für die Berufe AV-Mediengestalter/AV-Mediengestalterin Bild und Ton, Film- und Videoeditor/Film- und Videoeditorin";"3778527991";"";"1157814557";"2000";
"¬Ein¬ Elefant kommt selten allein : Doro in Indien";"3872948644";"Marie-Thérèse Schins. Mit Zeichn. von Wiebke Oeser";"316268836";"2000";
"Bruder Sonne - Schwester Mond : die Geschichte des Heiligen Franziskus";"3825173275";"erz. von Margaret Mayo. Ill. von Peter Malone";"333044991";"2000";
"Frauen machen Mode : berühmte Modeschöpferinnen von Coco Chanel bis Vivienne Westwood";"3492230245";"Gertrud Lehnert";"323692141";"2000";
"Computers as mindtools for schools : engaging critical thinking";"0130807095";"David H. Jonassen";"270764607";"2000";
"Ethik : ... Jahrgangsstufe. - 9, [Hauptbd.]. von Erika Müller ..";"3762770670";"Erika Müller ; Klaus Pabst ; Rudolf Spann";"1170748090";"2000";
"Sonnenkind";"3825173089";"Ellen Tijsinger. Aus dem Niederländ. von Jeanne Oidtmann- van Beek...";"31510807X";"2000";
"Multi-Media-Campus : die Zukunft der Bildung; [leben und lernen im weltweiten Netz]";"3-8029-0249-1";"Franz-Theo Gottwald; K. Peter Sprinkart";"161163301X";"2000";
"Rosalenas Spiegel";"3357009307";"Anne Provoost. Aus dem Niederländ. von Silke Schmidt";"317903047";"2000";
"An der Grenze? : Wissenschaft, Kultur und Religion zwischen Selbstbegrenzung und Grenzüberschreitung";"3814207750";"Didaktisches Zentrum, Arbeitsstelle Religion in Erfahrungs- und Lernprozessen. Jürgen Heumann (Hrsg.)";"1186793317";"2000";
"Snap! : Unterrichtswerk für Hauptschulen und Schulen mit Bildungsgängen, die zum Hauptschulabschluss führen. - 3, Begleitbuch fur den Unterricht, Kontrollaufgaben.";"3125850339";"";"1145414761";"2000";
"¬The¬ music box : songs and activities for children. - [Hauptbd.].";"058225597X";"";"1343986389";"2000";
"Farbe, Form und Fantasie : das Kunstbuch für die Grundschule. - 1/2.";"3-507-02516-7";"";"1148787364";"2000";
"Neue Umweltliteratur für Kinder : Darstellung und Interpretation ; Wiese - Wald - Gewässer - Tierliebe, Tierleid - Artenschutz - ökologisches Denken - Umweltverschmutzung";"3890194826";"Gertraud Langer";"305743821";"2000";
"Access to geography : for the revised National Curriculum. - 1.";"0198334761";"";"1151738328";"2000";
"Access to geography : for the revised National Curriculum. - 4.";"0198334745";"";"115173845X";"2000";
"Prinzenkinder : Erscheinungsbild, mögliche Ursachen und Behandlungsansätze bei autistischem Syndrom";"3-8288-8109-2";"von Alexandra Hüge";"31202536X";"2000";
"Fachmethodische Arbeiten zur Wärmelehre, Elektrizitätslehre und Optik";"382656913X";"Karl-Heinz Gronemeier; Otto Kranz; Hans Steidl";"312027672";"2000";
""Schaut, was ich zu sagen habe" : intermodales Lernen in multikulturellen Klassen";"3907526694";"Elisabeth Hösli";"312079117";"2000";
"Kreatives Schreiben im 3. und 4. Schuljahr : [Arbeitsblätter, Folienvorlagen, Unterrichtsideen";"3486987739";"Bettina Lammert; Verena Seibert";"312077858";"2000";
"Liberatory education and globalization";"3-934129-05-6";"Heinz-Peter Gerhardt";"314686649";"2000";
"Paulo Freire : a profile";"3-934129-04-8";"Heinz-Peter Gerhardt";"31468669X";"2000";
"Märchen machen Mut : ein Werkbuch zur Werteerziehung und Persönlichkeitsentfaltung von Kindern";"3769812042";"Brigitta Schieder";"314693890";"2000";
"Welt der Zahl : mathematisches Unterrichtswerk für die Grundschule. - 4, Arbeitsblätter.";"3-507-45744-X";"";"1155550455";"2000";
"Welt der Zahl : mathematisches Unterrichtswerk für die Grundschule. - 3, Arbeitsblätter.";"3-507-45743-1";"";"115555213X";"2000";
"Schülerinnen und Schüler im Blickfeld der Lehrperson : Werden Lehrkräfte in ihrer Ausbildung auf den Umgang mit den Schülerinnen und Schülern genügend vorbereitet?; eine Untersuchung zur Qualität der Ausbildung sozialer Unterrichtskompetenzen in der Lehrerinnen- Lehrerausbildung zur Primar- und Sekundarschullehrkraft der deutschsprachigen Schweiz";"3-905596-31-8";"Horst Biedermann";"314831827";"2000";
"Treffpunkte : Lesebuch für das ... Schuljahr. - 5 [Hauptband]. [1. Dr.] -";"3-507-42410-X";"";"1155887301";"2000";
"Eltern beraten Eltern - ein Peer-counceling-Konzept. - 1. Beratung und Unterstützung von Eltern im Hinblick auf Selbstbestimmung und Integration von Kindern und Jugendlichen mit Behinderung";"3-8265-7314-5";"[mit Beitr. aus den Teilprojekten Wilfried Furian ...]";"1156028582";"2000";
"Lehren heißt Raum geben etwas in sich zu finden";"3934565476";"hrsg. von Heidemarie Adam ...";"316079375";"2000";
"Sprachliche Förderung von Kindern und Jugendlichen aus Migrantenfamilien : Dokumentation der Fachtagung vom 03. bis 05. Mai 1999 in Soest";"3816541763";"hrsg. vom Landesinstitut für Schule und Weiterbildung und dem Landeszentrum für Zuwanderung Nordrhein-Westfalen. [Red.: Peter Werner]";"316088013";"2000";
"TV-Diskurs : Verantwortung in audiovisuellen Medien - Das kompetente Kind : Erziehung im Mediendschungel; [Medienpädagogik hat Konjunktur - aber es hat ihr nicht viel genützt]. - 12";"";"[Red.: Karin Dirks ... Autoren dieser Ausg.: Natasa Basic ...]";"1612237169";"2000";
"Maßstab : Mathematik Hauptschule. - 7, Lösungen.";"3507844230";"";"1156507782";"2000";
"¬Die¬ Kunst vernetzt zu denken : Ideen und Werkzeuge für einen neuen Umgang mit Komplexität";"3421053081";"Frederic Vester";"319191079";"2000";
"Rechtschreiben mit Pfiff! : Nachschriften und Stationentraining für den offenen, fächerübergreifenden Unterricht in der ... Jahrgangsstufe; Kopiervorlagen. - 6. 1. Aufl";"3403031845";"Rainer Langseder ; Klaus Zöberlein";"115679823X";"2000";
"Wortstark : Themen und Werkstätten für den Deutschunterricht. - 9/10 [Lehrerbd.]. Hinweise und Materialien für Lehrerinnen und Lehrer";"3-507-41854-1";"";"1157118178";"2000";
"Schulprogramme : Porträts ihrer Entwicklung";"3929237385";"Uwe Hameyer ... (Hrsg.)";"1613306237";"2000";
"Achtung (+) Toleranz : Wege demokratischer Konfliktregelung";"3892048231";"Susanne Ulrich ; unter Mitarbeit von: Jürgen Heckel, Eva Oswald, Stefan Rappenglück, Florian M. Wenzel";"303940948";"2000";
"Gedichte in Stundenbildern : ... Jahrgangsstufe. - 4. Unterrichtsvorschläge mit Kopiervorlagen";"3-403-02017-7";"";"1157495931";"2000";
"Kinder feiern St. Martin";"3769812603";"Cordula Pertler; Eva Reuys";"318291800";"2000";
"Empirische Untersuchungen zu Bedingungen der Umwelterziehung : ein interkultureller Vergleich auf der Grundlage der Theorie des geplanten Verhaltens";"3828881750";"von Sinan Erten";"318504898";"2000";
"Erinnerungsarbeit : Grundlage einer Kultur des Friedens";"3825846113";"Bernhard Nolz; Wolfgang Popp (Hrsg.)";"318769530";"2000";
"Mathematik üben an Stationen : Materialien für mathematische Lernzirkel im 1. bis 4. Schuljahr ; [mit 200 Kopiervorlagen]";"312196125X";"erprobt und vorgestellt von Ute Wild";"320926656";"2000";
"Analyse von schulbezogenen Selbstwirksamkeitsüberzeugungen und Angst mit Modellen latenter Variablen";"3-8300-0271-8";"Christian Tarnai ...";"1613475411";"2000";
"Outdoor für indoors : mit "harten" Methoden zu "weichen" Zielen";"3934214614";"Michael Großer, [Wilfried Zaremba]";"319446573";"2000";
"Zusammen kann ich das : effektive Teamarbeit lernen";"3-86072-499-1";"Susan Finney. [Übers. Ursula Tigges]";"320093905";"2000";
"Kindsein kein Kinderspiel : das Jahrhundert des Kindes (1900 - 1999) ; [Ausstellung der Franckeschen Stiftungen zu Halle, 9. Juli bis 26. November 2000]";"3930195631";"hrsg. von Petra Larass. [Kataloggest.: Joachim Dimanski. Textbearb.: Sabine Ullrich ...]";"318412926";"2000";
"Mehrdimensionale Testmodelle mit Anwendungen aus der pädagogisch-psychologischen Diagnostik";"3890881440";"Claus H. Carstensen. [Institut für die Pädagogik der Naturwissenschaften an der Universität Kiel (IPN)]";"320087638";"2000";
"Demokratie heute : Gemeinschaftskunde für Baden-Württemberg; Realschule. - 9.";"3507104466";"";"1157986706";"2000";
"Weiter- und Fortbildung der Lehrer - wesentliche Voraussetzung und Bedingung einer inneren Schulreform : Bildungsreformen in der Folge politischer und gesellschaftlicher Transformationen in BelarusÊ¹, Polen, Russland, der Tschechischen Republik, Ungarn und den neuen Bundesländern ; Materialien einer wissenschaftlichen Tagung vom 11. bis zum 14. Oktober 1999 im Pädagogischen Landesinstitut Brandenburg in Ludwigsfelde-Struveshof";"3935024053";"Humanwissenschaftliche Fakultät, Institut für Pädagogik, Universität Potsdam. Wolfgang Thiem (Hrsg.)";"318508176";"2000";
"¬Die¬ grosse Ravensburger Kinderbibel : Geschichten aus dem Alten und Neuen Testament";"3473339253";"erzählt von Thomas Erne. Mit vielen Bildern von Ulises Wensell. [Der deutsche Text folgt der Konzeption der französischen Originalfassung von Marie-Hélène Delval]";"841341826";"2000";
"Informationstechnikmanagement in Schulen : Gestaltung eines integrierten Technikeinsatzes in Schulen";"";"von Andreas Breiter";"1158214596";"2000";
"Mathebaum : Mathematik für Grundschulen. - 3. Arbeitsheft";"3507750732";"";"1158305567";"2000";
"Mathebaum : Mathematik für Grundschulen. - 4. Arbeitsheft";"3507750740";"";"1158307462";"2000";
"Begabungs- und Begabtenförderung : eine Herausforderung für die Schule ; ein Symposium der Pädagogischen Akademie des Bundes in Oberösterreich und des Pädagogischen Institutes ; 1999 in Linz ; Dokumentation";"385487099X";"Peter Ganglmair (Hrsg.)";"321824393";"2000";
"Denken und Rechnen. - 1. Arbeitsheft";"3141224617";"";"1158654324";"2000";
"Verhaltensmodifikation bei Verhaltensstörungen im Jugendalter : ein Beispiel pädagogischer Evaluationsforschung anhand eines handlungstheoretisch fundierten Praxismodells";"3933967287";"Karin Schleider";"323083137";"2000";
"Flickflack : Sprachbuch für die Grundschule. - 4, Lehrerhandbuch mit Kopiervorlagen.";"378262145X";"";"1158889038";"2000";
"Flickflack : Sprachbuch für die Grundschule. - 3, Lehrerhandbuch mit Kopiervorlagen.";"3782621352";"";"1158889631";"2000";
"Flickflack : Sprachbuch für die Grundschule. - 2, Lehrerhandbuch mit Kopiervorlagen.";"3782621255";"";"1158889666";"2000";
"Jenaplanschule Lübbenau : ein Schulversuch zur Reform der Grundschulen";"3896857193";"[Hrsg.: Pädagogisches Landesinstitut Brandenburg (PLIB)]. Autorinnen und Autoren: Sonnhild Bockenheimer ... [Red.: Hans-Jürgen Lambrich unter Mitarb. von Wilfried Steinberg]";"322302390";"2000";
"Rätselspaß im Religionsunterricht : ab 3. Schuljahr";"3893583408";"Anette Töniges-Harms; Heinz-Lothar Worm";"1615508643";"2000";
"Maßstab : Mathematik Hauptschule. - 8, Lösungen.";"3-507-84424-9";"";"1159583811";"2000";
"Aggressives und gewaltbereites Verhalten kleiner Kinder : Erklärungsansätze mit bindungstheroretischem Hintergrund ; ein Beitrag";"3934229522";"von Charlotte Schmidt-Lack";"322576547";"2000";
"Entwicklung und Sozialisation in der Kindheit";"346412908X";"von Georg Bubolz";"320347621";"2000";
"Evaluation als Aufgabe der Lehrerausbildung : Dokumentation einer Fachtagung";"3-8165-2276-9";"hrsg. vom Landesinstitut für Schule und Weiterbildung. [Red.: Christoph Burkard]";"323807828";"2000";
"Auto-Mobil? : Handreichung für den fächerübergreifenden naturwissenschaftlichen Unterricht und für Umweltbildung";"3816541798";"[Autor: Armin Kremer]. Hrsg. vom Landesinstitut für Schule und Weiterbildung";"323808131";"2000";
"Was ist guter Fachunterricht? : Beiträge zur fachwissenschaftlichen Diskussion";"3816522777";"hrsg. vom Landesinstitut für Schule und Weiterbildung. [Red.: Christoph Burkard; Hans Haenisch]";"323807801";"2000";
"Erscheinungsformen der Lese-, Rechtschreibschwäche";"3-933699-08-8";"Günter Esser; Anne Wyschkon";"1616242248";"2000";
"Pädagogische Psychologie im neuen Europa : Ergänzungsband zur Dokumentation des 2. Dortmunder Symposions für Pädagogische Psychologie 1996";"3892060797";"Udo Kittler ... (Hrsg.)";"324066597";"2000";
""Führung" als didaktische Professionalität";"";"von Dieter Ernst Koch";"321617576";"2000";
"Hilfe für Kinder mit Lese-, Rechtschreibschwäche im Förderunterricht und zu Hause";"3-933699-09-6";"Eva Angyal; Susanne Brunner-Keinath";"161643354X";"2000";
"Bilder werden Worte : Wirkungen und pädagogische Einsatzmöglichkeiten des kreativen Schreibens";"3928878816";"Barbara Schulte-Steinicke";"334150361";"2000";
"Games for children";"0-19-437224-3";"Gordon Lewis with Günther Bedson";"348362242";"2000";
"Sprachliches und fachliches Lernen : Förderung in der deutschen Sprache als Aufgabe des Unterrichts in allen Fächern ; Dokumentation einer Fachtagung";"3816541844";"hrsg. vom Landesinstitut für Schule und Weiterbildung. [Bearb.: Peter Werner]";"327978988";"2000";
"Mobile - Sprachbuch. - 3, Schülerband.";"3141203032";"";"1161872892";"2000";
"Abracadabra. - [Hauptband].";"3141105715";"";"1161878386";"2000";
"P wie Politik : Gemeinschaftskunde; [für Realschulen in Baden-Württemberg]. - 1, Lehrerband.";"350624390X";"";"1162157461";"2000";
"Maßstab : Mathematik Hauptschule. - 8, [Hauptbd.].";"3507844044";"";"1162171944";"2000";
"¬Das¬ Sprachbuch : Sprachbuch für die Grundschule. - 3, Handbuch fur Lehrerinnen und Lehrer. 1. Aufl";"3762725837";"";"1163425281";"2000";
"Geschichten erzählen : [Themenhefte für die ... Klasse]. - 2, Themenhefte für die zweite Klasse der HS und AH ; 2 ; (2,100,kind). So lebten Kinder in der Geschichte";"3-209-02892-3";"";"1163914738";"2000";
"¬Die¬ kleine Weltgeschichte : eine illustrierte Zeitleiste von der Urzeit bis zur Gegenwart; Kopiervorlagen für Folien und Arbeitsblätter für die Jahrgangsstufen 5 bis 10";"3403020932";"Alfons Schweiggert";"1619899019";"2000";
"Von Adlerauge bis Zauberbaum : tausend Spiele für die Grundschule ; eine Spielesammlung";"3930927608";"Hanns Petillon. Unter Mitarb. von Alexandra Bierweiler ...";"321257286";"2000";
"Meine Lieblingslieder von Jesus : biblische Spiellieder für Kinder zum Neuen Testament. - Buch.";"389617097X";"Rolf Krenzer ; Reinhard Horn";"1165250039";"2000";
"Rechtschreiben mit Pfiff! : Nachschriften und Stationentraining für den offenen, fächerübergreifenden Unterricht in der ... Jahrgangsstufe; Kopiervorlagen. - 8. 1. Aufl";"3403031853";"Rainer Langseder ; Klaus Zöberlein";"1165510790";"2000";
"ABC-Buch : nach den beiden Grundsätzen eines synthetischen Verfahrens und einer engen Verbindung von Sach- und Sprachunterricht; [175 Jahre Lehrerbildung in Schwäbisch Gmünd]";"";"bearb. von Joseph Frey";"1165653834";"2000";
"¬The¬ grammar lab. - 2, Teacher's book.";"0194330206";"";"1169905595";"2000";
"¬Das¬ Hirschgraben-Lesebuch. - 6,Handbuch fur den Unterricht. mit Kopiervorlagen";"3464601129";"";"1171033958";"2000";
"Feuer und Asche über Pompeji : vom Ausbruch des Vesuv";"3789146064";"Tilman Röhrig. Bilder von Uwe Klindworth";"1618832778";"2000";
"Word bird's word land. - User's guide.";"";"";"1176880071";"2000";
"Word bird's word land. - Activity book.";"";"";"1176880179";"2000";
"Versöhnung : Töchter - Söhne - Eltern";"389189077X";"Mathias Jung";"1613914334";"2000";
"Kreative Medien und die Suche nach Identität : Methoden integrativer Therapie und Gestaltpädagogik für psychosoziale Praxisfelder. - 1.";"3980478416";"Helga Nitsch-Berg ; Hiltraud Kühn";"1159630585";"2000";
"Kreative Medien und die Suche nach Identität : Methoden integrativer Therapie und Gestaltpädagogik für psychosoziale Praxisfelder. - 2.";"3980478424";"Helga Nitsch-Berg ; Hiltraud Kühn";"1159631425";"2000";
"Energiewende 2020 : der Weg in eine zukunftsfähige Energiewirtschaft";"";"eine Studie des Öko-Instituts von Felix Chr. Mattes u. Martin Cames";"1158903855";"2000";
"Umgang mit Medien, Presse, Öffentlichkeit : ein praxisorientierter Leitfaden für den Mittelstand";"";"DIHT, Deutscher Industrie- und Handelstag. [Red. Florian Ditges ...]";"1162197064";"2000";
"Wir machen Geschichte : [Grundausgabe]. - 3, Lehrerband.";"3-425-00338-0";"";"1136268219";"2000";
"Geschichte verstehen lernen : Persönlichkeiten, Ereignisse, Strukturen, Entwicklungen";"3893120610";"Hans-Jürgen van der Gieth";"1606967541";"2000";
"Reintegration von Absolventinnen und Absolventen der Sprachheilgrundschule in das Regelschulsystem : eine empirische Untersuchung";"3826569954";"Roswitha Romonath";"1608976572";"2000";
"Deutschunterricht und Deutschlehrerausbildung im 19. Jahrhundert in Thüringen : Fallstudien zur Fachgeschichte";"363134127X";"Hartmut Frentz ... (Hrsg.)";"306244810";"2000";
"Assessing children's mathematical knowledge : social class, sex and problem-solving";"0335203175";"Barry Cooper and Máiréad Dunne";"1609854543";"2000";
